"","SITE_ID","DATE_COL","DATECHEM","PH_FIELD","PH_LAB","COND","ANC","TURB","TOC","DOC","NH4N_PPM","NO3_NO2","NTL_PPM","PTL","CL_PPM","NO3N_PPM","SO4_PPM","CA_PPM","MG_PPM","NA_PPM","K_PPM","COLOR","SIO2","NH4ION","CATSUM","ANSUM2","CHLA","SECMEAN","VISIT_NO","LAT_DD","LON_DD","ST","EPA_REG","URBAN","NUT_REG","NUTREG_NAME","ECO_NUTA","LAKE_ORIGIN","ECO3_X_ORIGIN","REF_CLUSTER","RT_NLA","HUC_2","HUC_8","DO2_2M","SAMPLED","REPEAT","ALBERS_X","ALBERS_Y","FLD_LON_DD","FLD_LAT_DD","STATE_NAME","CNTYNAME","NHDNAME","LAKENAME","MDCATY","WGT","WGT_NLA","ADJWGT_CAT","WSA_ECO3","WSA_ECO9","ECO_LEV_3","ECO_L3_NAM","REFCLUS_NAME","REF_NUTR","AREA_HA","SIZE_CLASS","LAKEAREA","LAKEPERIM","SLD","DEPTH_X","DEPTHMAX","ELEV_PT","COM_ID","REACHCODE","DATEPHAB","CLASSP","EcoP6","ssiBedBld","ssiNATBedBld","rviLowWood","RVegQ_7","RVegQ_8","L_RVegQ_8","LRCVQ_7A","LRCVQ_7B","LRCVQ_7C","LRCVQ_7D","LRCVQ_8D","L_LRCVQ_8D","ElevXLat","ElevDLat","ElevXLon","XER","XER_X_Elev","WMT","RDisIXAgAdj5","RDisIXAgAdj4","RDisIXAgAdj3","RDisIXAgAdj2","RDis_InEx","RDis_IX","RvegQ_Var","RVegQ","LogRVegQ","LitCvrQ_Var","LitCvrQ","LogLitCvrQ","LitRipCVQ_Var","LitRipCVQ","LogLitRipCvQ","RVeg_OE","LitCvr_OE","LitRipCvr_OE","DATE_SECCHI","NTL","CLEAR_TO_BOTTOM","TSTATE_TP","TSTATE_TN","TSTATE_CHL","TSTATE_SECCHI"
"1","NLA06608-0001","7/31/2007","7/31/2007",8.2,7.63,96.28,924.3,0.474,0.37,0.63,0.01,0.12,0.151,6,0.05,0.131,2.226,13.93,2.944,0.252,0.131,6,1.182,0.698985573,952.4,982.39,0.24,6.4,1,48.9790286,-114.0218399,"MT","Region_8","NO","II","Western Forested Mountains","II","NATURAL","WMTNS NATURAL","F","REF",10,10010001,8.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/31/2007",151,"","1: OLIGOTROPHIC (<= 10 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","1: OLIGOTROPHIC (<= 2 ug/L)","1: OLIGOTROPHIC (> 4 m)"
"2","NLA06608-0002","6/14/2007","6/14/2007",5.3,6.05,44.8,104.48,3.55,15.9,14.02,0.019,0.005,0.695,36,6.311,0.005,0.818,3.414,0.775,2.526,0.152,71,1.695,1.355704612,350.14,301.34,3.84,0.55,1,33.036064,-79.9837905,"SC","Region_4","YES","XIV","Eastern Coastal Plain","CPL","MAN-MADE","PLNLOW MAN-MADE","D","SO-SO",3,3050201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6/14/2007",695,"","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","2: MESOTROPHIC (>2-7 ug/L)","4: HYPEREUTROPHIC (<= 0.7 m)"
"3","NLA06608-0002","6/14/2007","6/14/2007",5.3,6.05,44.8,104.48,3.55,15.9,14.02,0.019,0.005,0.695,36,6.311,0.005,0.818,3.414,0.775,2.526,0.152,71,1.695,1.355704612,350.14,301.34,3.84,0.55,2,33.036064,-79.9837905,"SC","Region_4","YES","XIV","Eastern Coastal Plain","CPL","MAN-MADE","PLNLOW MAN-MADE","D","SO-SO",3,3050201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6/14/2007",695,"","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","2: MESOTROPHIC (>2-7 ug/L)","4: HYPEREUTROPHIC (<= 0.7 m)"
"4","NLA06608-0002","7/23/2007","7/23/2007",5.1,5.92,42.87,104.09,4.43,16.34,13.8,0.009,0,0.507,25,6.493,0.012,0.648,3.283,0.76,2.132,0.1,60,1.988,0.64249646,330.24,309.52,20.053,NA,1,33.036064,-79.9837905,"SC","Region_4","YES","XIV","Eastern Coastal Plain","CPL","MAN-MADE","PLNLOW MAN-MADE","D","SO-SO",3,3050201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","NLA06608-0002","7/23/2007","7/23/2007",5.1,5.92,42.87,104.09,4.43,16.34,13.8,0.009,0,0.507,25,6.493,0.012,0.648,3.283,0.76,2.132,0.1,60,1.988,0.64249646,330.24,309.52,20.053,NA,2,33.036064,-79.9837905,"SC","Region_4","YES","XIV","Eastern Coastal Plain","CPL","MAN-MADE","PLNLOW MAN-MADE","D","SO-SO",3,3050201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","NLA06608-0002","7/23/2007","7/23/2007",5.1,5.93,43.18,103.14,3.87,16.19,13.69,0.01,0.005,0.469,22,6.501,0.005,0.654,3.272,0.754,2.113,0.128,45,2.007,0.713625574,322.39,302.3,20.88,0.45,1,33.036064,-79.9837905,"SC","Region_4","YES","XIV","Eastern Coastal Plain","CPL","MAN-MADE","PLNLOW MAN-MADE","D","SO-SO",3,3050201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/23/2007",469,"","2: MESOTROPHIC (>10-25 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","4: HYPEREUTROPHIC (<= 0.7 m)"
"7","NLA06608-0002","7/23/2007","7/23/2007",5.1,5.93,43.18,103.14,3.87,16.19,13.69,0.01,0.005,0.469,22,6.501,0.005,0.654,3.272,0.754,2.113,0.128,45,2.007,0.713625574,322.39,302.3,20.88,0.45,2,33.036064,-79.9837905,"SC","Region_4","YES","XIV","Eastern Coastal Plain","CPL","MAN-MADE","PLNLOW MAN-MADE","D","SO-SO",3,3050201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/23/2007",469,"","2: MESOTROPHIC (>10-25 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","4: HYPEREUTROPHIC (<= 0.7 m)"
"8","NLA06608-0003","8/29/2007","8/29/2007",8.4,8.47,1089,4746.01,7.67,6.75,6,0.005,0.005,0.738,43,173.337,0.005,49.455,51.55,9.513,164.9,5.778,18,45.248,0.559742856,10676.25,10664.81,16.96,0.71,1,28.0477421,-97.8598661,"TX","Region_6","YES","X","Texas-Louisiana Coastal and Mississippi Alluvial Plains","CPL","NATURAL","PLNLOW NATURAL","D","TRASH",12,12110111,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/29/2007",738,"","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","3: EUTROPHIC (0.7-2.1 m)"
"9","NLA06608-0003","8/29/2007","8/29/2007",8.4,8.47,1089,4746.01,7.67,6.75,6,0.005,0.005,0.738,43,173.337,0.005,49.455,51.55,9.513,164.9,5.778,18,45.248,0.559742856,10676.25,10664.81,16.96,0.71,2,28.0477421,-97.8598661,"TX","Region_6","YES","X","Texas-Louisiana Coastal and Mississippi Alluvial Plains","CPL","NATURAL","PLNLOW NATURAL","D","TRASH",12,12110111,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/29/2007",738,"","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","3: EUTROPHIC (0.7-2.1 m)"
"10","NLA06608-0003","9/6/2007","9/6/2007",8.4,8.54,1120,4784.39,9.53,7.46,5.87,0.011,0.005,0.843,50,181.295,0.005,47.763,49.8,9.496,164.2,5.504,12,7.9,0.669052108,10550.18,10892.43,12.864,0.49,1,28.0477421,-97.8598661,"TX","Region_6","YES","X","Texas-Louisiana Coastal and Mississippi Alluvial Plains","CPL","NATURAL","PLNLOW NATURAL","D","TRASH",12,12110111,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/6/2007",NA,NA,NA,NA,NA,NA
