"","UID","ALUMINUM","AMMONIA_N","ANC","CALCIUM","CHLORIDE","COLOR","COND","DOC","MAGNESIUM","NITRATE_N","NITRITE_N","NTL","PH","POTASSIUM","PTL","SILICA","SODIUM","SULFATE","TURB","CHLX","CHLL","OXYGEN","TEMPERATURE","DEPTH","CONDUCTIVITY","SECCHI","AREA_HA","ELEVATION","ABUNDANCE","PERIM_KM","INDEX_LAT_DD","INDEX_LON_DD","MMI_BENT_NLA12","MMI_ZOOP_NLA6","AMITOTAL","LitCvrQc3OE","LitRipCvrQc3OE","RDis_IX","RVegQc3OE","MICX","ATRAZINE","METHYLMERCURY","TOTALHG","URBAN","LAKE_ORIGIN"
"1",1000001,0.007,0.0021,180.7,2.421,1.239,2,30.4,4.78,0.891,0,0,0.396,6.53,0.93,22,3.621,1.636,3.371,1.57,3.944,4.27,5.75714285714286,109.1,1.06,64,0.09,23.67721306,100.53,1234,3.128333616,34.002321,-89.762622,60.5,67.23,0.125,0.317115113,0.287684471,0.286842105,0.242479789,0.09903,0,0.39,114.29,"No","MAN_MADE"
"2",1000010,0.02,0.0087,240.8,2.441,1.261,26,31.5,7.47,1.051,0,0,1.226,7.71,1.622,66,2.162,1.537,0.959,21.78,55.84,52.8,7.05,30.25,2,176.571428571429,0.55,6.90996209,88.97,5084,1.746144004,33.424506,-89.938903,24.8,54.92,0.025,0.298272185,0.602002604,0.75,0.830171463,0.42,0.3,2.2,72.03,"No","MAN_MADE"
"3",1000011,0.012,0.0099,209.8,1.413,0.965,19,27.9,6.95,1.453,0,0,0.99,7.55,2.447,45,1.13,1.049,1.11,8.12,23.04,24.8,6.75166666666667,26.2,0.766666666666667,15.2,0.8,8.523870462,90.21,6389,1.362482864,32.923253,-90.012368,45,59.4,0.1375,0.345840693,0.288697001,0.47654321,0.200214948,0.08865,0,0.92,74.5,"No","MAN_MADE"
"4",1000013,0.031,0.011,273.5,4.865,4.785,32,52.3,5.61,0.728,0.002,0,0.261,7.53,0.879,18,4.853,3.855,2.774,0.37,0.952,1.88,7.79411764705882,13.1535294117647,7.12941176470588,48.4705882352941,7.5,82.15968773,312.89,26997,5.076463215,44.4472,-71.8139,61.6,78.78,0.8875,1.334485054,0.7260505,0.677586207,0.523951326,0,0,3.4,408.16,"No","NATURAL"
"5",1000014,0,0.004,342.9,8.632,8.969,26,141.2,6.5,4.877,0.002,0,0.445,7.67,3.457,30,8.921,8.341,30.626,2.08,7.064,7.59,8.32,25.0333333333333,5.96153846153846,118.166666666667,5.6,214.6028942,94.15,3793,19.74274092,31.70852,-94.36235,38.4,48.6,0.53,0.75037858,0.662070887,0.65,0.510875852,0.05344,0,1.5,125,"No","MAN_MADE"
"6",1000015,2.48,3.18,-589.6,29.87,9.783,5,573,0.23,9.582,0.078,0,4.065,3.34,6.079,54,41.445,9.374,163.271,0.42,1.245333333,8.36,11.1666666666667,35.2,0.375,6670.5,0.03,30.07304761,124.94,267,2.486766248,32.19814,-94.90857,27.6,49.75,0.313888889,0.51501885,0.426386985,0.663888889,0.311072635,0.0352,0,0.66,151.72,"No","MAN_MADE"
"7",1000016,0,0.0025,279.9,2.798,0.402,15,28.2,3.22,1.612,0.002,0,0.16,6.71,0.051,20,3.037,0.22,0.048,1.95,1.424,3.42,1.38333333333333,16.9666666666667,1.255,30.8333333333333,2.1,14.30226557,108.12,1113,2.011877518,43.59834,-123.27847,51.4,56.23,0.875,3.60337714,0.977934464,0.80952381,0.102828557,0,0,0.52,57.14,"No","MAN_MADE"
"8",1000017,0,0.0098,2237,20.71,2.416,23,219,7.12,8.657,0.002,0,0.625,7.84,1.683,197,4.895,14.09,1.361,2.01,20.22857143,3.51,3.78,19.18,0.652,230.6,1.5,39.04864208,90.61,1129,3.962036653,44.54702,-123.3458,40.6,57.67,0.188888889,3.473655392,1.668286216,0.403420195,1.150882528,0,0,1.3,85.89,"Yes","MAN_MADE"
"9",1000018,0,0.012,2529,83.6,163.281,22,1300,4.87,27.12,0,0,0.806,8.2,6.547,88,17.008,158.1,272.672,9.16,26.6,18.88,5.125,29.7,0.3,1327.75,0.475,14.04966974,9.62,4006,4.793572166,26.0702,-97.5651,9.3,50.68,0.13,0.427886287,0.680509647,0.137155963,1.078847407,0.1981,0,0.49,46.56,"Yes","MAN_MADE"
"10",1000019,0.204,0.065,1078,12.23,2.031,32,122,7.99,2.822,0.107,0.007,0.895,7.95,3.774,383,24.092,7.532,3.313,28.52,3.024,3.02,7.61,19.59,2.758,126.2,0.395,33.42354611,973.07,1842,2.786720526,43.45932,-116.1424,42.3,48.05,0.045,0.516534445,0.353516934,0.775,0.311782617,0.0513,0,0.35,19.35,"Yes","MAN_MADE"
"11",1000020,0.048,0.03,1344,24.42,1.056,27,142.2,3.23,2.282,0.007,0.001,0.25,8.33,1.201,14,3.61,1.373,5.031,1.03,3.76,4.14,5.04866666666667,16.2766666666667,5.46,148.32,5.15,83.35219021,396.91,1422,4.253675398,44.71843,-72.23518,59.3,74.62,0.315,0.409351484,0.42596846,0.716666667,0.471812601,0.05181,0.09,1.7,74.77,"No","NATURAL"
"12",1000021,0.027,0.074,6056,29.41,5.315,26,542,10.66,26.64,0.004,0,0.839,8.76,9.517,332,34.793,60.6,3.712,33.64,6.492957746,6.29,6.18285714285714,16.8885714285714,1.42857142857143,543.142857142857,0.3,89.8369153,1272.22,831,3.884895593,42.77272,-118.44643,9.9,54.03,0.305,0.906961055,0.370281756,0.826686217,0.170487417,0.07648,0,0.12,7.62,"No","NATURAL"
"13",1000022,0.051,0.026,15329,2.861,1073.821,40,5790,19.86,3.02,0,0,2.894,9.22,14.61,114,5.743,1384,612.771,13.95,30.24,28.32,5.475,30.75,0.375,5745,0.385,6.722705342,19.4,3272,1.047712118,26.62182,-98.06093,49,39.88,0,0.005373093,0.029891382,0.914529915,0.062313638,0.13435,0.06,0.08,49.08,"No","MAN_MADE"
"14",1000023,0,0.023,3860,41.2,63.1,7.5,582,6.3,36.7,0.002,0,1.06,8.68,3.1,92,9.75,32.9,21.9,11.3,46.9,63,5.82,24.36,4.5,616.4,1.3,1293.360842,258.46,6508,15.59782541,42.96618,-89.24687,34.6,10.43,0.015,0.152866846,0.189260403,0.851768173,0.242808195,3.18,0.06,1.3,66.33,"Yes","NATURAL"
"15",1000025,0.191,0.041,754.1,7.822,2.308,68,85.4,15.04,2.328,0.011,0,7.844,9.58,4.271,705,7.735,4.338,0.452,24.71,764.64,91.84,9.278,18.722,1.152,87.8,0.25,44.60233911,1678.67,5318,6.977021396,43.1951,-114.59357,52.3,62.05,0.175,1.485636188,0.895161448,0,0.689751718,0.08847,0,0.72,48.1,"No","MAN_MADE"
"16",1000026,0.007,0.0092,1449,27.41,21.986,11,322,4.48,4.01,0.002,0,0.61,8.4,5.246,26,2.262,29.32,48.751,2.92,14.85714286,14.06,4.84166666666667,27.95,4.625,349.583333333333,0.775,8783.073606,156.97,4121,287.6648639,33.08004,-96.93451,24.4,75.77,0.155,0.439955098,0.262001445,0.656097561,0.123857457,0.16833,0.05,0.52,17.86,"Yes","MAN_MADE"
"17",1000028,0,0.018,3900,30.1,53.7,5,542,6.2,35.6,0.004,0,0.8,8.58,2.1,10,2.72,24.6,23.5,1.5,1.27,0.92,7.73333333333333,15.1380952380952,9.98095238095238,493.52380952381,7.35,314.752087,262.37,1551,11.02082103,43.9597,-88.44731,56.3,48.47,0.765,0.817638935,0.54431853,0.802941177,0.510377763,0,0,0.61,62.5,"Yes","NATURAL"
"18",1000029,0.008,0.0091,2948,46.14,15.573,13,395,1.88,13.66,0.002,0,0.23,8.63,2.827,41,5.166,16.48,39.697,4.46,18.88,13.76,8.77933333333333,17.606,8.036,418.8,0.69,3395.548059,1278.65,9599,65.96435541,42.68712,-113.39513,29.7,52.82,0.01,1.626313093,1.471902715,0.1,1.495497757,0.08679,0,0.53,30.59,"No","MAN_MADE"
"19",1000030,0.417,0.015,794.5,8.383,1.951,18,90.6,2.93,1.749,0.005,0,0.465,7.94,3.447,84,30.527,5.845,2.916,4.33,12.24,12.4,9.42857142857143,14.2136363636364,2.35,750.571428571429,1.7,393.0365949,1593,15350,17.50235317,42.214006,-114.888169,39.5,58.05,0.066666667,0.816544874,0.580258062,0.342857143,0.509636238,0.12244,0,0.81,28.3,"No","MAN_MADE"
"20",1000032,0.025,0.016,237.2,3.834,0.171,45,30.3,7.29,0.766,0.003,0,0.315,7.19,0.721,20,3.887,1.051,2.004,1.44,5.28,4.91,4.95166666666667,19.4966666666667,1.65,33.6833333333333,1.8,9.495781733,350.12,1444,1.192061654,44.77782,-71.79939,50.8,56.32,0.765,0.775141553,1.11324498,0.045454546,1.304681127,0,0,3.2,233.77,"No","NATURAL"
"21",1000034,0,0.048,3900,38.2,62.5,5,571,4.7,31.4,0.07,0,0.5,8.62,2.4,24,3.63,29.9,25.4,1.7,5.15,28.9,5.03333333333333,21.3777777777778,8.46111111111111,501.722222222222,4.5,712.9395732,282.49,6139,20.22544004,42.59883,-88.61124,58,48.05,0.6,0.842351711,0.414188338,0.792429422,0.278879945,0.22,0.18,0.31,65.48,"Yes","NATURAL"
"22",1000039,0.123,0.034,2900,20.3,16.9,2.5,328,3.9,27.8,0.36,0,1.67,9,0.9,12,7.99,7,10.9,1.5,2.48,4.21,7.15625,13.65,7.48125,359.1875,4.8,7.476834304,240.76,1958,1.082121863,43.8135,-89.30314,55.8,60.43,1.338888889,1.556207698,0.968635351,0.406976744,0.719299397,0,0.09,0.85,51.6,"No","NATURAL"
"23",1000043,0.01,0.015,1882,22.44,53.563,10,413,5.07,17.59,0.002,0,0.398,8.97,2.965,10,1.046,32.79,27.976,1.52,3.423,3.05,7.5,25.8285714285714,3.07142857142857,461.714285714286,2.925,8.421188949,251.36,2015,1.658583111,42.69371,-84.53162,43.7,49.82,0.4075,0.333772369,0.540005311,0.788709677,0.682229458,0.0653,0,0.3,58.82,"Yes","MAN_MADE"
"24",1000044,0.009,0.048,2620,25.8,11.1,10,272,8.3,17.8,0.002,0,0.72,8.08,0.918,18,1.36,6.6,4.5,1.6,4.53,6.03,4.83333333333333,27.8333333333333,2,240.666666666667,2.8,6.228535462,260.89,932,1.098238887,44.04256,-89.21638,69.9,71.17,1.13,0.866207856,1.090247245,0.647145669,1.276061369,0,0.06,1.2,134.43,"No","NATURAL"
"25",1000046,0,0.034,4422,70.29,6.396,45,454,18.43,18.96,0.002,0,1.559,8.5,1.183,31,5.034,4.743,26.989,1.96,8.32,8.47,3.45,17.125,3.5,422,2.025,2.696718707,282.31,1218,0.646357608,42.38802,-84.90757,35.7,73.05,1.1225,1.493222731,0.558511134,0.656097561,0.100790752,0.28839,0.09,0.7,71.43,"No","NATURAL"
"26",1000047,0,0.049,1933,25.13,18.328,12,251,5.95,9.859,0.002,0.001,0.616,8.42,0.4,38,17.242,11.84,4.696,1.38,3,3.01,7.98571428571429,28.3,1.1,254.571428571429,2.5,20.7984169,198.02,919,2.059968311,43.37293,-86.1442,52.5,49.7,1.035,0.915931399,0.824968338,0.591269841,0.82833409,0.1123,0,0.6,238.1,"Yes","NATURAL"
"27",1000049,0.003,0.0075,479.4,3.747,0.621,10,48.8,0.3,1.676,0.002,0,0.016,7.66,0.996,62,28.907,3.396,0.93,0.14,0.997894737,1.48,11.4740740740741,9.51851851851852,12.6666666666667,48.1111111111111,16.4,63.69158062,795.16,1041,6.143979584,44.31744,-122.04558,15.7,58.18,0.055,2.906525317,1.890151972,0.456451613,1.673906645,0,0,1.9,61.22,"No","MAN_MADE"
"28",1000050,0,0.059,3760,34.5,111,10,710,6.9,42.7,0.002,0,0.74,8.75,2.5,21,10,54.1,26.2,4.4,6.22,6.27,8.45,28.4833333333333,1.25,606.5,2.1,21.88736741,263.67,1198,3.072636509,43.05438,-88.45565,61.5,61.63,0.311111111,0.755244659,0.364984417,0.6,0.239305601,1.611,0.05,0.38,31.09,"Yes","NATURAL"
"29",1000052,0,0.0068,4268,61.98,24.535,15,537,4.69,27.95,0,0,0.569,8.44,2.099,44,7.537,12.44,43.155,3.21,19.34883721,9.77,3.6,19.42,4.55,535.8,1.325,177.5017494,241.34,1441,14.54437771,42.62375,-85.18965,28.1,74.92,0.738888889,1.295613277,1.057922122,0.622605364,0.998468527,0,0.22,0.84,96.64,"No","NATURAL"
"30",1000053,0.001,0.011,1054,8.551,17.132,38,174.1,10.02,2.34,0.002,0,0.805,8,5.247,35,7.378,22.36,4.714,2.72,11.2,13.7,4.96666666666667,30.7166666666667,0.833333333333333,178.166666666667,1.35,5.361167783,116.46,3415,1.133239809,32.0895,-95.89428,44.4,57.52,0.6725,1.126192479,0.821029252,0.686065574,0.407773534,0.11624,0,0.73,95.47,"No","MAN_MADE"
"31",1000054,0.03,0.0078,130.2,2.373,1.319,40,24.1,5.7,0.58,0.002,0,0.429,7.07,0.085,19,0.296,1.494,1.94,1.11,7.76,8.88,7.576,24.802,0.68,24.28,3.375,10.89805771,516.79,3266,1.56213999,42.74702,-72.83404,54,57.33,1.0325,1.254925806,0.894135608,0.115217391,0.799355688,0,0,6.4,230.22,"No","NATURAL"
"32",1000055,0.006,0.0094,231.2,4.695,4.13,36,51,12.83,1.943,0.002,0,0.721,7.17,1.595,17,0.33,1.367,3.467,1.46,6.224,6.92,2.83333333333333,20.7333333333333,3.04666666666667,56.7333333333333,2.25,19.92870769,278.58,1106,1.690808032,43.36485,-85.37929,60.4,77.32,0.7275,1.095321767,0.685715876,0.813043478,0.51255049,0,0,3.1,183.91,"No","NATURAL"
"33",1000056,0,0.013,2772,41.45,21.464,30,359,6.17,12.95,0.043,0,0.546,8.5,1.388,44,6.45,14.16,17.198,1.57,12,3.39,7.575,19.88,8.535,330.25,2.45,1899.63343,176.65,3361,49.51063769,43.23549,-86.3027,31.5,47.87,0.4175,0.936831248,0.442042613,0.857502569,0.208850268,0.05862,0,1.6,174.7,"Yes","NATURAL"
"34",1000057,0.022,0.0066,353.3,12.8,0.107,9,83.2,1.4,0.411,0.005,0,0.15,8.93,0.549,14,4.339,0.997,19.211,0.48,0.422,0.34,7.58,19.06,0.58,84.4,1.47,3.827814934,2969.81,1080,0.724629452,38.04726,-119.25892,41.4,70.07,0.015,0.322339973,0.119894438,0.674453641,0.066900455,0,0,0.65,70.56,"No","MAN_MADE"
"35",1000058,0,0.031,2184,19.49,9.261,40,252,7.48,20.1,0.002,0,0.72,9.28,0.909,26,3.59,4.253,15.096,1.56,12.64,4.08,2.75,23.875,1.5,364.5,2.425,8.142607701,238.92,1259,1.908205594,42.92055,-84.20475,48.2,33.98,1.069444444,1.035853763,1.001435517,0.356321839,1.045562388,0.10168,0.09,0.54,114.65,"No","MAN_MADE"
"36",1000059,0,0.048,3420,28,75.6,5,584,5.4,37.6,0.01,0,0.52,8.79,2.2,17,5.97,37.2,31.2,1.3,3.2,5.73,6.38,26.54,4.42,499.1,3.7,293.706702,241.63,1622,9.554434957,42.51397,-88.268,58.6,32.4,0.9625,0.709705346,0.382482732,0.830952381,0.291425571,0.179,0,2.2,170.59,"Yes","NATURAL"
"37",1000060,0,0.0064,2159,65.12,291.546,10,1288,6.05,25.65,0,0,0.596,8.62,13.37,25,7.427,143.5,81.769,2.96,12.08,10.48,4.98333333333333,28.3583333333333,4.58333333333333,1308,0.93,6050.902632,360.68,2680,177.9037867,32.82543,-98.99079,44.2,57.65,0.085,0.303773814,0.150233624,0.752941177,0.054108808,0.11139,0,0.64,31.61,"No","MAN_MADE"
"38",1000062,0,0.014,2513,44.62,17.19,10,412,5.74,10.51,0,0,0.595,8.56,12.07,64,10.611,20.11,56.013,47.7,5.64,7.31,6.08333333333333,30.3333333333333,0.833333333333333,425.333333333333,0.19,20.20554838,291.01,310,2.289338064,33.27274,-98.15311,39.6,54.87,0.095,0.470616522,0.606771429,0.637892377,0.713887791,0.03055,0,0.34,28.38,"Yes","MAN_MADE"
"39",1000063,0.023,0.053,5120,50.7,23.4,15,562,4.2,37.5,0.308,0.003,3.84,8.39,1.891,132,17,9.7,20.1,6.3,85.3,294,15.7,26.2,0.5,476.666666666667,0.55,35.44372211,242.92,3438,4.712612182,43.49694,-89.30856,27.8,70.72,1.215,2.827608872,1.22932474,0.1875,0.218819092,0,0.07,0.25,53.92,"Yes","MAN_MADE"
"40",1000066,0.024,0.015,1085,13.35,9.233,12,144.2,5.13,6.481,0,0,0.558,8.26,0.186,14,0.504,5.105,4.81,1.2,4.48,5.13,5.16666666666667,24.4444444444444,4.05555555555556,153.444444444444,2.875,81.73778302,232.46,4355,3.690177151,42.07976,-86.20638,43.8,48,0.54,0.469085491,0.433154151,0.85,0.441153511,0,0,1.3,238.58,"Yes","NATURAL"
"41",1000067,0.073,0.024,1085,12.17,0.593,23,120.1,7.09,4.107,0.003,0.001,1.048,9.11,3.481,85,6.7,3.934,6.11,3.94,26.72,13.28,3.63727272727273,13.8072727272727,4.07181818181818,141.454545454545,1.05,6.488524087,677.78,5589,1.137585074,46.68818,-116.65021,55,52.27,0.2075,0.681703887,0.745170955,0.115217391,0.786161852,0.14069,0.07,0.99,34.63,"No","NATURAL"
"42",1000068,0.25,0.015,595.8,5.774,0.679,15,62.7,3.42,2.14,0.002,0,0.303,8.45,1.355,77,34.337,3.205,0.819,2.66,5.546666667,5.2,7.69222222222222,9.49777777777778,12.602962962963,64.2222222222222,2.275,38.08818946,1034.14,1387,3.60179902,46.21004,-116.83789,41.9,59.57,0.03,0.907901433,2.184173139,0.543589744,2.828326542,0,0,0.9,84.64,"No","MAN_MADE"
"43",1000069,0.005,0.02,278.1,3.295,1.084,0,38.4,2.54,1.154,0,0,0.196,7.5,0.764,35,13.828,2.041,2.983,1.3,3.562666667,3.16,1.44125,22.23,2.635,35.125,2.05,399.5960538,648.7,1087,16.10374453,47.46703,-116.60612,64.7,56.78,0.28,1.049077149,0.624668808,0.472222222,0.535917274,0,0,0.6,55.81,"No","NATURAL"
"44",1000070,0,0.025,2087,25.72,10.281,7,240,7.46,11.33,0,0,0.619,8.54,0.791,18,3.255,6.939,6.976,1.47,5.176,5.28,4.09090909090909,22.2363636363636,4.04545454545455,270.272727272727,2.075,109.0730023,203.67,1907,7.760964342,42.37905,-86.04756,44.1,79.18,0.8525,0.858501474,0.8142295,0.79010989,0.841526338,0,0.18,2.8,170.59,"No","NATURAL"
"45",1000071,0.003,0.026,447.7,6.045,0.548,10,55.4,3.01,1.928,0.078,0.002,0.296,7.96,0.553,9,2.163,0.911,3.459,0.59,3.168,1.63,7.0445,12.766,8.545,52.3,5.3,41.12620274,384.73,1312,3.479405685,43.89182,-73.05322,64,76.83,0.065,1.189203245,0.948162411,0.215384615,0.769369764,0,0,3.1,234.38,"No","MAN_MADE"
"46",1000072,0,0.028,3913,46.88,20.933,18,473,6.95,31.52,0,0,0.781,8.47,1.691,49,11.278,5.206,29.208,4.53,22.48,13.84,4.662,24.74,2.1,520.2,1.65,4.425981362,209.88,3880,0.860247501,41.79597,-86.47465,33,83.33,1.2375,1.538193131,1.018745343,0.461904762,0.808415486,0.0625,1.5,1.7,64.75,"No","NATURAL"
"47",1000073,0,0.016,3830,82.27,1291.575,10,5680,8.92,91.98,0,0,0.97,8.02,14.84,49,15.052,989.6,717.932,5.37,14.5,17.44,6.725,26.0375,2.5625,5535,0.75,6559.394263,894.9,8217,173.4236661,35.71128,-101.56682,35.5,20.62,0.0625,0.791545228,1.183029406,0.522222222,1.474417127,0.0591,0.15,0.08,17.36,"Yes","MAN_MADE"
"48",1000075,0.019,0.016,944.1,17.53,20.294,110,191.3,24.53,6.912,0,0,1.236,7.25,1.914,30,2.222,9.883,7.744,1.65,23.3,8.48,2.25,17.825,3.5,167.625,1.625,9.663838158,240.06,1459,1.377962467,42.75721,-85.63778,56.5,76.33,1.036111111,1.528983701,1.104585839,0.416024406,0.949668819,0.14037,0,3.5,190.48,"Yes","NATURAL"
"49",1000076,0.01,0.012,2414,28.84,14.09,10,273,4.18,12.32,0,0,0.395,8.62,0.534,10,2.693,8.56,8.045,0.96,3.032,3.38,5.04117647058824,18.6411764705882,7.07058823529412,291.647058823529,3.675,59.29438337,272.05,1729,5.744637724,42.20434,-85.70832,28.1,52.07,0.4575,0.536608079,0.454271874,0.77654321,0.439136203,0.13836,0,1.3,163.64,"Yes","NATURAL"
"50",1000079,0,0.024,3312,47.13,26.024,12,461,5.13,24.36,3.49,0,3.663,8.42,2.217,23,6.22,9.65,30.601,4.77,13.41538462,12.64,4.59166666666667,17.9833333333333,5.46666666666667,477.833333333333,0.825,36.97647575,247.07,2556,2.494886938,42.78462,-85.114266,25.4,48.88,0.86,1.188518704,0.822224969,0.580508475,0.680364994,0.06871,0.65,2.6,76.19,"Yes","NATURAL"
"51",1000080,0,0.01,3070,54.58,21.185,12,445,5.63,20.03,0,0,0.79,8.5,1.947,38,7.977,7.915,51.004,2.88,17.04,18.16,3.07333333333333,19.0933333333333,6.03333333333333,505.266666666667,1.025,195.7958733,258.64,3587,11.53051229,41.94382,-85.31645,43.4,73.63,0.1725,1.524114276,0.676701439,0.915966387,0.272321476,0.15335,0,0.34,43.31,"No","NATURAL"
"52",1000081,0.082,0.03,1682,26.92,69.719,11,484,6.42,19.13,0.005,0,0.588,8.99,1.172,15,1.408,37.76,49.03,1.83,3.5,3.55,8.11428571428571,28.6,1.1,481.428571428571,1.75,131.8145051,260.47,1893,4.469202458,42.183,-85.57172,22.2,81.73,0.11,0.198101984,0.283842912,0.850990099,0.346661313,0.02491,0.14,1.7,223.46,"Yes","NATURAL"
"53",1000082,0.012,0.015,734,10,1.5,15,80,5.2,3.3,0.002,0,0.019,8.42,0.7,24,6.87,1.8,4.7,4.3,20.3,32.2,8.82,25.24,2,68.4,1.65,116.9707289,498.67,15912,6.81326855,45.97241,-89.39159,62.3,71.07,0.6775,1.214002772,1.013544225,0.624561404,0.970947254,0,0,2.2,154.64,"No","NATURAL"
"54",1000083,0.018,0.015,120,2.4,0.18,150,20,18,0.7,0,0.001,0.89,6.05,0.8,35,1.08,0.5,2.2,3.6,21.3,13,1.15,12.9,3.5,26.175,1.05,1.656868354,517.88,1111,0.504049276,45.39135,-89.17907,67.5,86.32,0.555555556,0.973242238,0.740871188,0.065217391,0.664509212,0,0,2.2,453.33,"No","NATURAL"
"55",1000084,0.002,0.034,3381,50.93,18.691,10,715,4.82,19.25,0.168,0,0.723,8.42,8.472,59,18.265,71.85,185.471,6.78,12.01333333,9.2,5.95714285714286,18.4636363636364,6.03333333333333,417.96,0.625,641.0234072,916,3217,18.96802865,41.04609,-100.77833,39.4,28.75,0.027777778,0.658658073,0.516761873,0.78372093,0.439098968,0.09793,0,0.42,33.52,"Yes","MAN_MADE"
"56",1000085,0,0.013,4724,51.4,10.224,12,521,4.65,20.24,0,0,1.058,8.62,19.3,310,42.201,22.5,37.91,48.02,32.26666667,33.68,6.31666666666667,22.12,1.05714285714286,35.4444444444444,0.24,644.4589529,787.34,1131,45.64530116,40.35666,-100.67326,41.5,6.6,0.01,0.464235967,0.362216317,0.636065574,0.306103148,0.06594,0.29,0.68,20.91,"No","MAN_MADE"
"57",1000086,0,0.043,2037,27.86,1.253,12,213,1.78,3.715,0.036,0,0.33,8.41,6.563,241,56.626,7.325,8.793,37.17,5.82,6.5,6.8875,20.8128571428571,0,24.8571428571429,0.325,1117.854469,657.71,966,76.75741069,41.31279,-98.89063,18.7,20.85,0,0.183997599,0.112684679,0.703921569,0.069307202,0.02811,0.06,0.44,32.06,"No","MAN_MADE"
